4719,1,0,3
4719,0,-2,-1
4718,-3,-3,0
4719,0,-2,-2
4717,0,-2,1
4718,-2,-3,2
4721,0,-3,1
4718,1,0,0
4712,0,-1,-2
4719,-1,0,1
4716,1,-1,2
4720,0,-2,-1
4717,0,-3,-1
4717,-2,0,0
4715,-2,-3,1
4717,2,-2,-3
4717,-5,-1,2
4719,-1,-4,1
4718,-2,1,-1
4719,-1,-1,-2
4719,-1,-2,0
4719,0,-1,3
4717,-2,0,0
4715,1,-1,0
4722,0,-1,-1
4719,0,-4,-2
4720,0,0,1
4721,0,1,0
4722,1,1,1
4720,-3,-2,1
4718,2,0,-1
4723,-1,0,1
4723,-2,-1,-1
4719,2,-2,0
4720,-3,-1,0
4722,2,-2,0
4720,2,-2,-1
4721,1,-2,1
4717,-1,-1,-2
4719,-1,-2,3
4720,-1,0,3
4717,0,1,3
4715,0,-4,-1
4717,-1,0,-1
4718,0,-2,1
4718,-3,-3,0
4719,-3,-2,1
4721,0,0,0
4716,1,-2,-1
4717,1,-1,0
4718,-1,-1,2
4719,0,-1,0
4716,1,0,1
4716,-1,0,1
4720,0,-2,-1
4719,-1,-1,-2
4715,-3,-2,1
4717,0,1,1
4716,1,-2,2
4718,2,-1,2
4718,-1,1,-1
4719,-2,1,0
4718,-1,-2,-1
4718,-1,0,0
4719,1,0,1
4720,2,1,-1
4717,-1,-1,-2
4719,0,-2,0
4719,-1,-2,1
4720,-1,-1,1
4718,-1,-1,-1
4717,-1,-1,3
4720,0,-1,0
4720,1,-1,-1
4719,-1,-2,-1
4721,0,-5,2
4723,1,-1,0
4722,-1,-1,-2
4718,0,-3,0
4719,2,-2,-2
4719,3,-2,1
4722,-1,1,4
4720,2,1,-1
4722,1,-1,3
4719,0,-2,2
4719,1,1,1
4718,-1,-1,-1
4718,1,-2,1
4716,-1,0,-2
4716,-2,-2,0
4719,0,-3,-1
4718,-2,-3,-2
4718,-1,-2,1
4719,0,-4,0
4716,-1,-3,-1
4713,-1,-1,0
4715,-2,0,2
4717,-1,-1,-4
4717,0,-4,-2
4717,-2,-1,0
4718,-1,-1,-1
4716,1,-3,0
4717,0,2,2
4718,2,-3,0
4718,0,0,-2
4721,-4,0,1
4717,-1,0,-1
4716,2,-2,2
4716,-1,-4,3
4717,4,-2,-1
4715,1,-1,1
4719,-2,-2,1
4717,1,-2,1
4720,-2,-3,0
4720,-3,0,-1
4719,-2,-1,2
4716,-1,-2,-1
4712,-1,-1,-2
4716,-3,-3,1
4718,1,-1,-2
4717,0,2,-1
4716,2,-3,-2
4718,0,-1,0
4718,-1,-2,1
4715,0,-2,1
4716,1,-3,1
4718,-3,-1,-1
4720,0,-3,-2
4720,-4,-2,0
4719,0,-1,-2
4722,-2,-1,-1
4720,-1,1,1
4720,-2,0,1
4717,-1,0,1
4719,0,1,-2
4718,-1,-1,2
4722,0,0,1
4717,0,-2,2
4717,0,0,0
4719,-1,-2,0
4719,0,-2,0
4717,0,-1,2
4719,-2,-4,1
4715,-2,-2,2
4719,0,-2,0
4719,1,-3,1
4719,0,0,-1
4718,1,2,-2
4718,-2,0,-1
4717,1,-3,0
4716,-1,0,-1
4716,-1,-4,3
4716,1,-1,1
4712,2,-2,1
4715,-1,-2,1
4715,-1,-1,-1
4718,-4,0,3
4717,-2,-2,-1
4716,-1,-1,1
4718,-1,-2,-1
4717,-3,-4,1
4716,2,-1,-2
4718,-2,0,2
4720,-2,0,1
4719,2,0,0
4713,1,-4,0
4715,-3,0,0
4719,-2,-1,0
4717,3,0,0
4719,0,0,0
4720,-3,1,-1
4720,0,-2,1
4718,1,0,1
4717,-1,-2,-1
4719,-2,-2,1
4719,-3,-1,-1
4719,-1,-1,2
4719,0,-2,2
4721,1,-2,2
4723,0,-1,0
4718,1,2,0
4717,2,1,0
4715,-1,-1,1
4717,1,-1,0
4718,-2,1,-1
4717,-1,-3,-1
4713,-1,-4,0
4716,1,-3,0
4715,-1,-4,-2
4719,-1,-2,0
4718,1,0,2
4716,-1,1,0
4715,-1,-4,-2
4716,0,-1,0
4718,0,2,-4
4718,3,1,1
4716,0,0,-1
4713,-1,-3,-1
4718,0,3,1
4718,-1,1,0
4717,-1,1,3
4716,0,-1,-4
4715,-2,-2,-3
4716,0,-2,0
4719,-3,-1,1
4720,2,-1,2
